project_name,property_type,listing_type,city,locality,furnishing,status,bhk,bathrooms,price_lakh,carpet_area_sqft,price_per_sqft
Urbanyx court,Flat,for Sale,Bhubaneswar,Dumduma,Semi-Furnished,Under Construction,3,3,142,1212,11716.17
Laxmi Vaikunthapuram,Flat,for Sale,Bhubaneswar,Pandara,Unfurnished,Under Construction,3,2,127,1004,12649.4
Alltrade Nido De Aamor,Flat,for Sale,Bhubaneswar,Ghatikia,Unfurnished,Under Construction,3,3,153,1244,12299.04
Urbanyx court,Flat,for Sale,Bhubaneswar,Dumduma,Unfurnished,Under Construction,3,4,152,1441,10548.23
Threshold Landmark,Flat,for Sale,Bhubaneswar,Patrapada,Unfurnished,Under Construction,3,3,109,1277,8535.63
One World by Metro & AcreRise,Flat,for Sale,Bhubaneswar,Tamando,Unfurnished,Under Construction,3,3,109,1244,8762.06
Consortium Magnum,Flat,for Sale,Bhubaneswar,Chandrasekharpur,Unfurnished,Under Construction,4,5,282,1733,16272.36
Laxmi Fresh Living,Flat,for Sale,Bhubaneswar,Phulnakhara,Unfurnished,Under Construction,3,3,153,1244,12299.04
Nawah Boulevard,Flat,for Sale,Bhubaneswar,Raghunathpur,Unfurnished,Status,4,4,236,1244,18971.06
Sonsy Euphonia,Flat,for Sale,Bhubaneswar,Patia,Unfurnished,Under Construction,3,3,151,1244,12138.26
Kalvik Adidev,Flat,for Sale,Bhubaneswar,Patia,Unfurnished,Under Construction,3,3,188,1293,14539.83
Motwani Anantara,Flat,for Sale,Bhubaneswar,Jharapada,Unfurnished,Under Construction,3,3,153,1145,13362.45
Assotech Avenue 07,Flat,for Sale,Bhubaneswar,Rudrapur,Unfurnished,Under Construction,3,4,213,1503,14171.66
Jay Jagannathswami Pramod Signature,Flat,for Sale,Bhubaneswar,Patrapada,Unfurnished,Under Construction,3,3,144,1377,10457.52
Urbanyx court,Flat,for Sale,Bhubaneswar,Dumduma,Unfurnished,Under Construction,3,3,153,1359,11258.28
One World by Metro & AcreRise,Flat,for Sale,Bhubaneswar,Tamando,Unfurnished,Under Construction,3,3,109,780,13974.36
Odisha Udyog 9 Grand Avenue,Flat,for Sale,Bhubaneswar,Khandagiri,Unfurnished,Unknown,2,2,88,1244,7081.99
SARASWATI RATNA KUNJA,Flat,for Sale,Bhubaneswar,Jagamara,Unfurnished,Under Construction,4,3,233,1244,18729.9
DN Pallaciya,Flat,for Sale,Bhubaneswar,Sundarpur,Unfurnished,Under Construction,1,1,92,402,22935.32
Dn Fairytale Extension,Flat,for Sale,Bhubaneswar,Madanpur,Unfurnished,Under Construction,3,3,150,1140,13157.89
DN Pallaciya,,for Sale,Bhubaneswar,Sundarpur,Semi-Furnished,Under Construction,0,3,77,402,19378.11
Surekha Manthan,Flat,for Sale,Bhubaneswar,Hans Pal,Semi-Furnished,Under Construction,3,2,85,1244,6832.8
Utkal Reserve,Flat,for Sale,Bhubaneswar,Patrapada,Unfurnished,Under Construction,4,4,292,1244,23472.67
Skyies Swarna Bhumi,Villa,for Sale,Sundarpada Bhubaneswar,Skyies Swarna Bhumi,Unfurnished,Status,3,3,145,1244,11655.95
Sonsy Euphonia,Flat,for Sale,Bhubaneswar,Patia,Semi-Furnished,Under Construction,3,3,151,1244,12138.26
Ashray Vihar Phase II,Flat,for Sale,Bhubaneswar,Madanpur,Unfurnished,Under Construction,3,2,98,1244,7877.81
Grand Awaas,Flat,for Sale,Bhubaneswar,Phulnakhara,Unfurnished,Under Construction,3,3,125,1100,11363.64
Khushi Altair,Flat,for Sale,Bhubaneswar,Bomikhal,Unfurnished,Status,3,3,235,1244,18890.68
Z Padmanabha,Flat,for Sale,Bhubaneswar,Pahala,Unfurnished,Under Construction,4,3,329,2486,13234.11
JB Polaris,Flat,for Sale,Bhubaneswar,Tamando,Semi-Furnished,Under Construction,3,3,99,1244,7998.39
