project_name,property_type,listing_type,city,locality,furnishing,status,bhk,bathrooms,price_lakh,carpet_area_sqft,price_per_sqft
Unity The Amaryllis Phase 2,Flat,for Sale,New Delhi,Karol Bagh,Unfurnished,Unknown,5,3,1430,1450,98620.69
Garur Golf Island,Flat,for Sale,New Delhi,Sector 19B Dwarka,Unfurnished,Under Construction,4,4,761,1450,52482.76
Risland Sky Mansion,Flat,for Sale,New Delhi,Chattarpur,Unfurnished,Unknown,4,4,728,1450,50206.9
nan,Flat,for Sale,New Delhi,Saket,Semi-Furnished,Status,3,3,120,1700,7058.82
DDA Flats Munirka,Flat,for Sale,New Delhi,Munirka,Semi-Furnished,Status,3,3,210,1450,14482.76
nan,Flat,for Sale,New Delhi,New Rajendra Nagar,Semi-Furnished,Status,3,3,380,1600,23750.0
Vasant Vihar Builder Floor,Flat,for Sale,New Delhi,Vasant Vihar,Unfurnished,Under Construction,4,4,2300,1450,158620.69
nan,Flat,for Sale,New Delhi,Saket,Furnished,Status,1,1,35,500,7000.0
KM Apartment,Flat,for Sale,New Delhi,Sector 12 Dwarka,Semi-Furnished,Status,4,3,340,2005,16957.61
nan,Flat,for Sale,New Delhi,Punjabi Bagh,Semi-Furnished,Status,4,4,400,2400,16666.67
Brindawan Garden Apartment,Flat,for Sale,New Delhi,Dwarka,Semi-Furnished,Status,3,2,289,1650,17515.15
Nanda Devi Apartments,Flat,for Sale,New Delhi,Sector 10 Dwarka,Semi-Furnished,Status,3,2,279,1600,17437.5
Shubh Laxmi Apartment Sector 6 Dwarka,Flat,for Sale,New Delhi,Sector 6 Dwarka,Semi-Furnished,Status,4,4,390,1800,21666.67
nan,Flat,for Sale,New Delhi,Sector 25 Dwarka,Furnished,Status,4,3,145,1450,10000.0
Shree Radha Krishna Apartment,Flat,for Sale,New Delhi,Dwarka,Semi-Furnished,Status,3,2,268,1650,16242.42
Konark Apartments,Flat,for Sale,New Delhi,Patparganj,Semi-Furnished,Status,2,2,165,1050,15714.29
nan,Flat,for Sale,New Delhi,Janakpuri,Semi-Furnished,Under Construction,3,3,450,1300,34615.38
DDA Kaveri Apartment,Flat,for Sale,New Delhi,Vasant Kunj,Furnished,Status,1,2,135,500,27000.0
TARC Kailasa,Flat,for Sale,New Delhi,Kirti Nagar,Semi-Furnished,Under Construction,3,3,850,3000,28333.33
nan,Flat,for Sale,New Delhi,Sat Bari,Semi-Furnished,Status,3,3,90,1260,7142.86
TARC Kailasa,Flat,for Sale,New Delhi,Kirti Nagar,Unfurnished,Under Construction,4,4,1650,1450,113793.1
DDA Flats Vasant Kunj,Flat,for Sale,New Delhi,Vasant Kunj,Semi-Furnished,Status,3,3,425,1450,29310.34
nan,Flat,for Sale,New Delhi,Saket,Semi-Furnished,Status,2,2,55,900,6111.11
nan,Villa,for Sale,New Delhi,Unknown,Semi-Furnished,Status,5,5,1200,1450,82758.62
nan,Flat,for Sale,New Delhi,Sector 24 Rohini,Semi-Furnished,Status,3,2,132,950,13894.74
Shree Awas,Flat,for Sale,New Delhi,Dwarka,Semi-Furnished,Status,2,2,198,1000,19800.0
nan,Flat,for Sale,New Delhi,Janakpuri,Furnished,Under Construction,4,4,650,2200,29545.45
nan,Flat,for Sale,New Delhi,Chattarpur,Semi-Furnished,Status,2,2,50,720,6944.44
New Jyoti Apartments,Flat,for Sale,New Delhi,Dwarka,Semi-Furnished,Status,3,2,265,1300,20384.62
nan,Flat,for Sale,New Delhi,Defence Colony,Unfurnished,Status,4,4,1500,1450,103448.28
