title,price,carpet_area,furnishing,status,society,car_parking,bathrooms
"3 BHK Flat for Sale in Urbanyx court, Dumduma, Bhubaneswar",₹1.42 Cr,1212 sqft,Semi-Furnished,Under Construction,Urbanyx court,1 Covered,3
"3 BHK Flat for Sale in Laxmi Vaikunthapuram, Pandara, Bhubaneswar",₹1.27 Cr,1004 sqft,Unfurnished,Under Construction,Laxmi Vaikunthapuram,1 Covered,2
"3 BHK Flat for Sale in Alltrade Nido De Aamor, Ghatikia, Bhubaneswar",₹1.53 Cr,,Unfurnished,Under Construction,Alltrade Nido De Aamor,1 Covered,3
"3 BHK Flat for Sale in Urbanyx court, Dumduma, Bhubaneswar",₹1.52 Cr,1441 sqft,Unfurnished,Under Construction,Urbanyx court,,4
"3 BHK Flat for Sale in Threshold Landmark, Patrapada, Bhubaneswar",₹1.09 Cr,1277 sqft,Unfurnished,Under Construction,Threshold Landmark,,3
"3 BHK Flat for Sale in One World by Metro & AcreRise, Tamando, Bhubaneswar",₹1.09 Cr,,Unfurnished,Under Construction,One World by Metro & AcreRise,,3
"4 BHK Flat for Sale in Consortium Magnum, Chandrasekharpur, Bhubaneswar",₹2.82 Cr,1733 sqft,Unfurnished,Under Construction,Consortium Magnum,,5
"3 BHK Flat for Sale in Laxmi Fresh Living, Phulnakhara, Bhubaneswar",₹1.53 Cr,,Unfurnished,Under Construction,Laxmi Fresh Living,,3
"4 BHK Flat for Sale in Nawah Boulevard, Raghunathpur, Bhubaneswar",₹2.36 Cr,,Unfurnished,Status,Nawah Boulevard,,4
"3 BHK Flat for Sale in Sonsy Euphonia, Patia, Bhubaneswar",₹1.51 Cr,,Unfurnished,Under Construction,Sonsy Euphonia,,3
"3 BHK Flat for Sale in Kalvik Adidev, Patia, Bhubaneswar",₹1.88 Cr,1293 sqft,Unfurnished,Under Construction,Kalvik Adidev,,3
"3 BHK Flat for Sale in Motwani Anantara, Jharapada, Bhubaneswar",₹1.53 Cr,1145 sqft,Unfurnished,Under Construction,Motwani Anantara,,3
"3 BHK Flat for Sale in Assotech Avenue 07, Rudrapur, Bhubaneswar",₹2.13 Cr,1503 sqft,Unfurnished,Under Construction,Assotech Avenue 07,,4
"3 BHK Flat for Sale in Jay Jagannathswami Pramod Signature, Patrapada, Bhubaneswar",₹1.44 Cr,1377 sqft,Unfurnished,Under Construction,Jay Jagannathswami Pramod Signature,,3
"3 BHK Flat for Sale in Urbanyx court, Dumduma, Bhubaneswar",₹1.53 Cr,1359 sqft,Unfurnished,Under Construction,Urbanyx court,,3
"3 BHK Flat for Sale in One World by Metro & AcreRise, Tamando, Bhubaneswar",₹1.09 Cr,780 sqft,Unfurnished,Under Construction,One World by Metro & AcreRise,,3
"2 BHK Flat for Sale in Odisha Udyog 9 Grand Avenue, Khandagiri, Bhubaneswar",₹88.1 Lac,,Unfurnished,,Odisha Udyog 9 Grand Avenue,,2
"4 BHK Flat for Sale in SARASWATI RATNA KUNJA, Jagamara, Bhubaneswar",₹2.33 Cr,,Unfurnished,Under Construction,SARASWATI RATNA KUNJA,,3
"1 BHK Flat for Sale in DN Pallaciya, Sundarpur, Bhubaneswar",₹92.2 Lac,402 sqft,Unfurnished,Under Construction,DN Pallaciya,,1
"3 BHK Flat for Sale in Dn Fairytale Extension, Madanpur, Bhubaneswar",₹1.50 Cr,1140 sqft,Unfurnished,Under Construction,Dn Fairytale Extension,,3
"Studio Apartment for Sale in DN Pallaciya, Sundarpur, Bhubaneswar",₹77.9 Lac,402 sqft,Semi-Furnished,Under Construction,DN Pallaciya,1 Covered,3
"3 BHK Flat for Sale in Surekha Manthan, Hans Pal, Bhubaneswar",₹85 Lac,,Semi-Furnished,Under Construction,Surekha Manthan,,2
"4 BHK Flat for Sale in Utkal Reserve, Patrapada, Bhubaneswar",₹2.92 Cr,,Unfurnished,Under Construction,Utkal Reserve,1 Covered,4
"3 BHK Villa for Sale in Skyies Swarna Bhumi, Sundarpada Bhubaneswar",₹1.45 Cr,,Unfurnished,Status,Skyies Swarna Bhumi,1 Covered,3
"3 BHK Flat for Sale in Sonsy Euphonia, Patia, Bhubaneswar",₹1.51 Cr,,Semi-Furnished,Under Construction,Sonsy Euphonia,1 Covered,3
"3 BHK Flat for Sale in Ashray Vihar Phase II, Madanpur, Bhubaneswar",₹98 Lac,,Unfurnished,Under Construction,Ashray Vihar Phase II,1 Covered,2
"3 BHK Flat for Sale in Grand Awaas, Phulnakhara, Bhubaneswar",₹1.25 Cr,1100 sqft,Unfurnished,Under Construction,Grand Awaas,1 Covered,3
"3 BHK Flat for Sale in Khushi Altair, Bomikhal, Bhubaneswar",₹2.35 Cr,,Unfurnished,Status,Khushi Altair,,3
"4 BHK Flat for Sale in Z Padmanabha, Pahala, Bhubaneswar",₹3.29 Cr,2486 sqft,Unfurnished,Under Construction,Z Padmanabha,1 Covered,3
"3 BHK Flat for Sale in JB Polaris, Tamando, Bhubaneswar",₹99.5 Lac,,Semi-Furnished,Under Construction,JB Polaris,1 Covered,3
