title,price,carpet_area,furnishing,status,society,car_parking,bathrooms
"3 BHK Flat for Sale in Ashwin Sheth Edmont Aurelia, Kandivali West, Mumbai",₹2.96 Cr,1009 sqft,Unfurnished,Under Construction,Ashwin Sheth Edmont Aurelia,1 Covered,3
"2 BHK Flat for Sale in Khandelwal Luxor Wing A, Borivali West, Mumbai",₹1.34 Cr,624 sqft,Unfurnished,Under Construction,Khandelwal Luxor Wing A,,2
"3 BHK Flat for Sale in Lodha Acenza, Andheri East, Mumbai",₹7.25 Cr,,Unfurnished,Under Construction,Lodha Acenza,,4
"3 BHK Flat for Sale in N Rose Northern Hills, Dahisar East, Mumbai",₹2.88 Cr,1026 sqft,Unfurnished,Under Construction,N Rose Northern Hills,,4
"3 BHK Flat for Sale in Agarwal Florence, Goregaon West, Mumbai",₹2.77 Cr,881 sqft,Unfurnished,,Agarwal Florence,,2
"3 BHK Flat for Sale in Rustomjee Prive, Bandra East, Mumbai",₹5.45 Cr,1090 sqft,Unfurnished,Under Construction,Rustomjee Prive,,3
"3 BHK Flat for Sale in Lodha Adrina, Worli, Mumbai",₹8.94 Cr,1193 sqft,Unfurnished,Status,Lodha Adrina,,4
"2 BHK Flat for Sale in Paranjape Aspire, Andheri West, Mumbai",₹2.25 Cr,727 sqft,Unfurnished,Under Construction,Paranjape Aspire,,2
"2 BHK Flat for Sale in Empire Maitri Flora The Legend, Ghatkopar East, Mumbai",₹1.97 Cr,707 sqft,Unfurnished,Under Construction,Empire Maitri Flora The Legend,,2
"3 BHK Flat for Sale in Rustomjee Balmoral, Chembur, Mumbai",₹9.45 Cr,1671 sqft,Unfurnished,Under Construction,Rustomjee Balmoral,,3
"2 BHK Flat for Sale in Hubtown Seasons, Chembur, Mumbai",₹3.04 Cr,733 sqft,Unfurnished,Under Construction,Hubtown Seasons,,3
"3 BHK Flat for Sale in Piramal Revanta, Mulund West, Mumbai",₹3.47 Cr,1192 sqft,Unfurnished,,Piramal Revanta,,3
"3 BHK Flat for Sale in Godrej Trilogy Seafront, Worli, Mumbai",₹17.65 Cr,1765 sqft,Unfurnished,Under Construction,Godrej Trilogy Seafront,,3
"2 BHK Flat for Sale in Konark Ganesh Chhaya CHSL, Vile Parle East, Mumbai",₹2.95 Cr,695 sqft,Unfurnished,Under Construction,Konark Ganesh Chhaya CHSL,,2
"4 BHK Flat for Sale in Sheth 72 West, Andheri West, Mumbai",₹5.84 Cr,1725 sqft,Unfurnished,,Sheth 72 West,,4
"3 BHK Flat for Sale in L and T Island Cove, Mahim, Mumbai",₹4.08 Cr,1045 sqft,Unfurnished,Under Construction,L and T Island Cove,,3
"4 BHK Flat for Sale in Sahakar VOGUE77, Goregaon West, Mumbai",₹5.98 Cr,1650 sqft,Unfurnished,Under Construction,Sahakar VOGUE77,,4
"2 BHK Flat for Sale in Vida Crest, Byculla West, Mumbai",₹2.75 Cr,588 sqft,Unfurnished,Under Construction,Vida Crest,,2
"7 BHK Flat for Sale in Kalpataru Prive, Malabar Hill, Mumbai",₹109.08 Cr,9008 sqft,Unfurnished,Under Construction,Kalpataru Prive,,8
"3 BHK Flat for Sale in Bellissima, Bandra West, Mumbai",₹7.57 Cr,,Unfurnished,Under Construction,Bellissima,,3
"4 BHK Flat for Sale in Bellanza Phase 1 Wing A B C at The Prestige City, Mulund West, Mumbai",₹5.63 Cr,1707 sqft,Unfurnished,Under Construction,Bellanza Phase 1 Wing A B C at The Prestige City,,4
"2 BHK Flat for Sale in Sahakar Excel Acropolis, Bandra East, Mumbai",₹2.20 Cr,621 sqft,Unfurnished,Under Construction,Sahakar Excel Acropolis,,2
"2 BHK Flat for Sale in Platinum Crest, Andheri West, Mumbai",₹2.24 Cr,610 sqft,Unfurnished,Under Construction,Platinum Crest,,2
"3 BHK Flat for Sale in Pebble La Serena Tower 5 Tower 6 and Tower 7, Kandivali West, Mumbai",₹3.29 Cr,1025 sqft,Unfurnished,Under Construction,Pebble La Serena Tower 5 Tower 6 and Tower 7,,3
"2 BHK Flat for Sale in Mayfair Mira Pride, Mira Road Area, Mumbai",₹1.24 Cr,689 sqft,Unfurnished,Under Construction,Mayfair Mira Pride,,2
"2 BHK Flat for Sale in Dosti Mezzo 22, Sion East, Mumbai",₹2.93 Cr,639 sqft,Unfurnished,Under Construction,Dosti Mezzo 22,,2
"1 BHK Flat for Sale in Platinum Crest, Andheri West, Mumbai",₹1.52 Cr,415 sqft,Unfurnished,Under Construction,Platinum Crest,,1
"3 BHK Flat for Sale in Ten BKC, Bandra Kurla Complex, Mumbai",₹6.02 Cr,976 sqft,Unfurnished,,Ten BKC,,2
"3 BHK Flat for Sale in Neo Smile Belmonte Corner , Borivali West, Mumbai",₹3.77 Cr,1080 sqft,Unfurnished,Under Construction,Neo Smile Belmonte Corner,,3
"2 BHK Flat for Sale in The Erica, Borivali West, Mumbai",₹2.73 Cr,740 sqft,Unfurnished,Under Construction,The Erica,,2
