title,price,carpet_area,furnishing,status,society,car_parking,bathrooms
"5 BHK Flat for Sale in Unity The Amaryllis Phase 2, Karol Bagh, New Delhi",₹14.30 Cr,,Unfurnished,,Unity The Amaryllis Phase 2,,3
"4 BHK Flat for Sale in Garur Golf Island, Sector 19B Dwarka, New Delhi",₹7.61 Cr,,Unfurnished,Under Construction,Garur Golf Island,,4
"4 BHK Flat for Sale in Risland Sky Mansion, Chattarpur, New Delhi",₹7.28 Cr,,Unfurnished,,Risland Sky Mansion,,4
"3 BHK Flat for Sale in Saket, New Delhi",₹1.20 Cr,1700 sqft,Semi-Furnished,Status,,,3
"3 BHK Flat for Sale in DDA Flats Munirka, Munirka, New Delhi",₹2.10 Cr,,Semi-Furnished,Status,DDA Flats Munirka,,3
"3 BHK Flat for Sale in New Rajendra Nagar, New Delhi",₹3.80 Cr,1600 sqft,Semi-Furnished,Status,,,3
"4 BHK Flat for Sale in Vasant Vihar Builder Floor, Vasant Vihar, New Delhi",₹23 Cr,585 sqyrd,Unfurnished,Under Construction,Vasant Vihar Builder Floor,"3 Covered,",4
"1 BHK Flat for Sale in Saket, New Delhi",₹35 Lac,500 sqft,Furnished,Status,,,1
"4 BHK Flat for Sale in KM Apartment, Sector 12 Dwarka, New Delhi",₹3.40 Cr,2005 sqft,Semi-Furnished,Status,KM Apartment,"1 Covered,",3
"4 BHK Flat for Sale in Punjabi Bagh, New Delhi",₹4 Cr,2400 sqft,Semi-Furnished,Status,,"1 Covered,",4
"3 BHK Flat for Sale in Brindawan Garden Apartment, Dwarka, New Delhi",₹2.89 Cr,1650 sqft,Semi-Furnished,Status,Brindawan Garden Apartment,"1 Covered,",2
"3 BHK Flat for Sale in Nanda Devi Apartments, Sector 10 Dwarka, New Delhi",₹2.79 Cr,1600 sqft,Semi-Furnished,Status,Nanda Devi Apartments,"1 Covered,",2
"4 BHK Flat for Sale in Shubh Laxmi Apartment Sector 6 Dwarka, Sector 6 Dwarka, New Delhi",₹3.90 Cr,1800 sqft,Semi-Furnished,Status,Shubh Laxmi Apartment Sector 6 Dwarka,"1 Covered,",4
"4 BHK Flat for Sale in Sector 25 Dwarka, New Delhi",₹1.45 Cr,,Furnished,Status,,1 Covered,3
"3 BHK Flat for Sale in Shree Radha Krishna Apartment, Dwarka, New Delhi",₹2.68 Cr,1650 sqft,Semi-Furnished,Status,Shree Radha Krishna Apartment,"1 Covered,",2
"2 BHK Flat for Sale in Konark Apartments, Patparganj, New Delhi",₹1.65 Cr,1050 sqft,Semi-Furnished,Status,Konark Apartments,,2
"3 BHK Flat for Sale in Janakpuri, New Delhi",₹4.50 Cr,1300 sqft,Semi-Furnished,Under Construction,,"1 Covered,",3
"1 BHK Flat for Sale in DDA Kaveri Apartment, Vasant Kunj, New Delhi",₹1.35 Cr,500 sqft,Furnished,Status,DDA Kaveri Apartment,1 Open,2
"3 BHK Flat for Sale in TARC Kailasa, Kirti Nagar, New Delhi",₹8.50 Cr,3000 sqft,Semi-Furnished,Under Construction,TARC Kailasa,2 Covered,3
"3 BHK Flat for Sale in Sat Bari, New Delhi",₹90 Lac,1260 sqft,Semi-Furnished,Status,,2 Covered,3
"4 BHK Flat for Sale in TARC Kailasa, Kirti Nagar, New Delhi",₹16.50 Cr,,Unfurnished,Under Construction,TARC Kailasa,1 Covered,4
"3 BHK Flat for Sale in DDA Flats Vasant Kunj, Vasant Kunj, New Delhi",₹4.25 Cr,,Semi-Furnished,Status,DDA Flats Vasant Kunj,,3
"2 BHK Flat for Sale in Saket, New Delhi",₹55 Lac,900 sqft,Semi-Furnished,Status,,"1 Covered,",2
5 BHK Villa for Sale in Sarvapriya Vihar New Delhi,₹12 Cr,151 sqyrd,Semi-Furnished,Status,,2 Covered,5
"3 BHK Flat for Sale in Sector 24 Rohini, New Delhi",₹1.32 Cr,950 sqft,Semi-Furnished,Status,,"1 Covered,",2
"2 BHK Flat for Sale in Shree Awas, Dwarka, New Delhi",₹1.98 Cr,1000 sqft,Semi-Furnished,Status,Shree Awas,"1 Covered,",2
"4 BHK Flat for Sale in Janakpuri, New Delhi",₹6.50 Cr,2200 sqft,Furnished,Under Construction,,"2 Covered,",4
"2 BHK Flat for Sale in Chattarpur, New Delhi",₹50 Lac,720 sqft,Semi-Furnished,Status,,1 Covered,2
"3 BHK Flat for Sale in New Jyoti Apartments, Dwarka, New Delhi",₹2.65 Cr,1300 sqft,Semi-Furnished,Status,New Jyoti Apartments,"1 Covered,",2
"4 BHK Flat for Sale in Defence Colony, New Delhi",₹15 Cr,325 sqyrd,Unfurnished,Status,,,4
